Username,Repo_Name,Stars,Repo_URL
bitcoin,bitcoin,62100,https://github.com/bitcoin/bitcoin
ccxt,ccxt,23400,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17300,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,15900,https://github.com/freqtrade/freqtrade
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,8800,https://github.com/bbfamily/abu
solana-labs,solana,7400,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6700,https://github.com/dvf/blockchain
yeasy,blockchain_guide,6000,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5800,https://github.com/lightningnetwork/lnd
butor,blackbird,5500,https://github.com/butor/blackbird
spesmilo,electrum,5500,https://github.com/spesmilo/electrum
btcsuite,btcd,4700,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4500,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4200,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3900,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,3800,https://github.com/CryptoSignal/Crypto-Signal
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
coinpride,CryptoList,3600,https://github.com/coinpride/CryptoList
Scanate,EthList,3600,https://github.com/Scanate/EthList
jesse-ai,jesse,3600,https://github.com/jesse-ai/jesse
RomelTorres,alpha_vantage,3600,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3400,https://github.com/bitpay/wallet
btcpayserver,btcpayserver,3300,https://github.com/btcpayserver/btcpayserver
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
Jeiwan,blockchain_go,3200,https://github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3000,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2800,https://github.com/bitcoin-wallet/bitcoin-wallet
