Username,Repo_Name,Stars,Repo_URL
ovity,octotree,21800,https://github.com/ovity/octotree
gitpod-io,gitpod,7200,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,4800,https://github.com/reviewdog/reviewdog
danger,danger,4700,https://github.com/danger/danger
danger,danger-js,4200,https://github.com/danger/danger-js
joho,awesome-code-review,3300,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,1900,https://github.com/ajinabraham/nodejsscan
houndci,hound,1900,https://github.com/houndci/hound
mbj,mutant,1800,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1800,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1500,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1100,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1100,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1000,https://github.com/code-review-checklists/java-concurrency
Tencent,CodeAnalysis,1000,https://github.com/Tencent/CodeAnalysis
jiangsir404,Audit-Learning,826,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,742,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,623,https://github.com/enlightn/enlightn
palantir,policy-bot,453,https://github.com/palantir/policy-bot
bsamseth,cpp-project,448,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,431,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,412,https://github.com/mookid/diffr
mgreiler,code-review-checklist,396,https://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,348,https://github.com/JetBrains/Qodana
dpnishant,raptor,327,https://github.com/dpnishant/raptor
sjparkinson,static-review,326,https://github.com/sjparkinson/static-review
burrito-brothers,shiba,288,https://github.com/burrito-brothers/shiba
charignon,github-review,275,https://github.com/charignon/github-review
wandersoncferreira,code-review,265,https://github.com/wandersoncferreira/code-review
