Username,Repo_Name,Stars,Repo_URL
amphp,amp,3500,https://github.com/amphp/amp
danog,MadelineProto,1800,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,691,https://github.com/unreal4u/telegram-api
amphp,http-client,599,https://github.com/amphp/http-client
amphp,parallel,569,https://github.com/amphp/parallel
php-service-bus,service-bus,316,https://github.com/php-service-bus/service-bus
amphp,byte-stream,275,https://github.com/amphp/byte-stream
amphp,mysql,263,https://github.com/amphp/mysql
amphp,parallel-functions,216,https://github.com/amphp/parallel-functions
amphp,process,162,https://github.com/amphp/process
amphp,socket,151,https://github.com/amphp/socket
amphp,redis,121,https://github.com/amphp/redis
amphp,dns,109,https://github.com/amphp/dns
kelunik,acme,106,https://github.com/kelunik/acme
amphp,websocket-client,97,https://github.com/amphp/websocket-client
amphp,sync,99,https://github.com/amphp/sync
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,74,https://github.com/amphp/websocket-server
amphp,file,71,https://github.com/amphp/file
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,cache,65,https://github.com/amphp/cache
amphp,postgres,63,https://github.com/amphp/postgres
amphp,serialization,64,https://github.com/amphp/serialization
amphp,windows-registry,60,https://github.com/amphp/windows-registry
amphp,hpack,59,https://github.com/amphp/hpack
amphp,beanstalk,57,https://github.com/amphp/beanstalk
phpinnacle,ridge,45,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
amphp,cluster,41,https://github.com/amphp/cluster
