Username,Repo_Name,Stars,Repo_URL
vercel,next.js,81900,https://github.com/vercel/next.js
rust-lang,rust,63700,https://github.com/rust-lang/rust
webpack,webpack,60500,https://github.com/webpack/webpack
sveltejs,svelte,56100,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,52400,https://github.com/gatsbyjs/gatsby
babel,babel,40500,https://github.com/babel/babel
JetBrains,kotlin,40400,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,40300,https://github.com/parcel-bundler/parcel
evanw,esbuild,30700,https://github.com/evanw/esbuild
markedjs,marked,27000,https://github.com/markedjs/marked
vlang,v,27000,https://github.com/vlang/v
swc-project,swc,20600,https://github.com/swc-project/swc
vercel,pkg,19700,https://github.com/vercel/pkg
v8,v8,19100,https://github.com/v8/v8
AssemblyScript,assemblyscript,13500,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12700,https://github.com/Konloch/bytecode-viewer
ziglang,zig,12600,https://github.com/ziglang/zig
nim-lang,Nim,12500,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10900,https://github.com/gopherjs/gopherjs
RustPython,RustPython,10600,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,10200,https://github.com/compiler-explorer/compiler-explorer
goplus,gop,7900,https://github.com/goplus/gop
apache,tvm,7700,https://github.com/apache/tvm
numba,numba,7300,https://github.com/numba/numba
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
elm,compiler,6800,https://github.com/elm/compiler
aalhour,awesome-compilers,6500,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6400,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,6100,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5700,https://github.com/rescript-lang/rescript-compiler
